regla,Obj_alta_corr,Si,
guitarra,Obj_alta_incorr,No,ZAPATO
semáforo,Obj_baja_incorr,No,QUESO
cactus,Obj_baja_incorr,Si,
piano,Obj_alta_incorr,Si,
cámara,Obj_alta_incorr,No,ESCOBA
cepillo,Obj_alta_incorr,Si,
plancha,Obj_alta_corr,Si,
martillo,Obj_alta_corr,Si,
llave,Obj_alta_corr,Si,
escalera,Obj_alta_corr,Si,
llanta,Obj_alta_corr,Si,
fantasma,Obj_baja_corr,Si,
tumba,Obj_baja_corr,Si,
oreja,Obj_baja_corr,Si,
techo,Obj_baja_incorr,Si,
cruz,Obj_baja_incorr,Si,
volcán,Obj_baja_corr,Si,
gafas,Obj_alta_incorr,Si,
teléfono,Obj_alta_incorr,No,LÁMPARA
bastón,Obj_alta_corr,Si,
cerca,Obj_baja_corr,Si,
puente,Obj_baja_incorr,No,TAZA
esqueleto,Obj_baja_corr,Si,
nariz,Obj_baja_corr,Si,
hacha,Obj_alta_corr,Si,
ventilador,Obj_alta_incorr,Si,
coche,Obj_alta_incorr,No,BALÓN
tambor,Obj_alta_corr,Si,
muro,Obj_baja_corr,Si,
columna,Obj_baja_incorr,No,BOLSA
tijeras,Obj_alta_corr,Si,
humo,Obj_baja_incorr,Si,
silla,Obj_alta_incorr,No,TROMPETA
nube,Obj_baja_incorr,Si,
árbol,Obj_baja_corr,Si,
serrucho,Obj_alta_incorr,Si,
luna,Obj_baja_incorr,No,PERRO
rayo,Obj_baja_corr,Si,
carretera,Obj_baja_incorr,No,GUANTE
