enseñar,Abstracto,W_Abs,Si
rubanar,Pseudo,PsW,No
amar,Abstracto,W_Abs,Si
ignorar,Abstracto,W_Abs,Si
exigir,Abstracto,W_Abs,Si
rebanar,Acción,W_Act,Si
pecar,Abstracto,W_Abs,Si
molpear,Pseudo,PsW,No
colgar,Acción,W_Act,Si
dudar,Abstracto,W_Abs,Si
coser,Acción,W_Act,Si
ensuñar,Pseudo,PsW,No
pudar,Pseudo,PsW,No
confiar,Abstracto,W_Abs,Si
delidir,Pseudo,PsW,No
borrar,Acción,W_Act,Si
intuir,Abstracto,W_Abs,Si
monfiar,Pseudo,PsW,No
abrir,Acción,W_Act,Si
achelar,Pseudo,PsW,No
heredar,Abstracto,W_Abs,Si
agar,Pseudo,PsW,No
morder,Acción,W_Act,Si
aplaudir,Acción,W_Act,Si
poler,Pseudo,PsW,No
impedir,Abstracto,W_Abs,Si
abanicar,Acción,W_Act,Si
pegar,Acción,W_Act,Si
rasgar,Acción,W_Act,Si
firmar,Acción,W_Act,Si
lemantar,Pseudo,PsW,No
poner,Acción,W_Act,Si
matajear,Pseudo,PsW,No
lustrar,Acción,W_Act,Si
entender,Abstracto,W_Abs,Si
camplir,Pseudo,PsW,No
golpear,Acción,W_Act,Si
gozar,Abstracto,W_Abs,Si
existir,Abstracto,W_Abs,Si
palir,Pseudo,PsW,No
cumplir,Abstracto,W_Abs,Si
desear,Abstracto,W_Abs,Si
alzar,Acción,W_Act,Si
levantar,Acción,W_Act,Si
torder,Pseudo,PsW,No
decidir,Abstracto,W_Abs,Si
pulir,Acción,W_Act,Si
excavar,Acción,W_Act,Si
lestrar,Pseudo,PsW,No
masajear,Acción,W_Act,Si
odiar,Abstracto,W_Abs,Si
cubrir,Acción,W_Act,Si
dosear,Pseudo,PsW,No
anhelar,Abstracto,W_Abs,Si
avorar,Pseudo,PsW,No
risgar,Pseudo,PsW,No
juzgar,Abstracto,W_Abs,Si
pogar,Pseudo,PsW,No
entonder,Pseudo,PsW,No
añorar,Abstracto,W_Abs,Si
