139;NS1;Circulos;B;139;741;139;945;297;741
741;NS1;Circulos;B;297;139;741;741;945;945
945;NS1;Circulos;A;945;945;297;139;741;297
297;NS1;Circulos;A;741;297;945;297;139;139
907;S1;Caras;B;623;137;205;907;137;907
205;S1;Caras;A;205;623;907;623;205;137
623;S1;Caras;B;907;205;137;205;623;623
137;S1;Caras;A;137;907;623;137;907;205
521;NS2;Circulos;A;957;385;521;123;123;957
385;NS2;Circulos;B;123;123;385;957;521;385
957;NS2;Circulos;A;521;521;957;385;957;123
123;NS2;Circulos;B;385;957;123;527;385;521
803;S2;Caras;A;803;241;803;105;789;789
105;S2;Caras;B;105;789;789;803;241;241
241;S2;Caras;B;241;803;105;789;105;803
789;S2;Caras;A;789;105;241;241;803;105
361;NS3;Circulos;A;459;459;361;503;361;705
503;NS3;Circulos;A;361;503;503;705;459;459
459;NS3;Circulos;B;503;705;459;361;705;503
705;NS3;Circulos;B;705;361;705;459;503;361
613;S3;Caras;B;345;819;613;437;613;819
345;S3;Caras;A;613;613;437;345;819;345
819;S3;Caras;A;819;437;645;613;345;437
437;S3;Caras;B;437;345;819;819;437;613
